SourceFile,GPSLatitude,GPSLongitude,GPSAltitude
20180205_210301.jpg,-35.4969444444,-70.7641666667,2027
20180205_210303.jpg,-35.4969444444,-70.7641666667,2027
20180206_080903.jpg,-35.4969444444,-70.7641666667,2003
20180206_094057.jpg,-35.4966666667,-70.7641666667,1991
20180206_094105.jpg,-35.4969444444,-70.7641666667,1990
20180206_105846.jpg,-35.4969444444,-70.7641666667,2003
20180206_105848.jpg,-35.4969444444,-70.7641666667,2003
20180206_105850.jpg,-35.5041666667,-70.7611111111,2129
20180206_105851.jpg,-35.5041666667,-70.7611111111,2129
20180206_111303.jpg,-35.505,-70.7602777778,2130
20180206_111306.jpg,-35.505,-70.7602777778,2130
20180206_111309.jpg,-35.505,-70.7602777778,2130
20180206_111314.jpg,-35.505,-70.7602777778,2130
20180206_111338.jpg,-35.5047222222,-70.7602777778,
20180206_111340.jpg,-35.5047222222,-70.7602777778,
20180206_111341.jpg,-35.5047222222,-70.7602777778,
20180206_111346.jpg,-35.505,-70.7602777778,2130
20180206_120846.jpg,-35.5047222222,-70.7602777778,
20180206_120849.jpg,-35.5047222222,-70.7602777778,
20180206_120855.jpg,-35.505,-70.7602777778,2130
20180206_130151.jpg,-35.505,-70.7602777778,2130
20180206_130152.jpg,-35.5119444444,-70.7497222222,2275
20180206_130204(0).jpg,-35.5119444444,-70.7497222222,2275
20180206_130204.jpg,-35.5119444444,-70.7497222222,2275
20180206_134749.jpg,-35.5119444444,-70.7497222222,2275
20180206_134755.jpg,-35.52,-70.7475,2319
20180206_134757.jpg,-35.52,-70.7475,2319
20180206_141839.jpg,-35.525,-70.7477777778,
20180206_141842.jpg,-35.525,-70.7480555556,2427
20180206_141844.jpg,-35.525,-70.7480555556,2427
20180206_141850.jpg,-35.525,-70.7480555556,2427
20180206_174441.jpg,-35.5330555556,-70.7833333333,2625
20180206_174444.jpg,-35.5330555556,-70.7833333333,2625
20180206_174451.jpg,-35.5330555556,-70.7833333333,2625
20180206_174509.jpg,-35.5330555556,-70.7830555556,
20180206_174516.jpg,-35.5330555556,-70.7830555556,
20180206_174520.jpg,-35.5330555556,-70.7830555556,
20180206_174522.jpg,-35.5330555556,-70.7830555556,
20180206_174525.jpg,-35.5330555556,-70.7830555556,
20180207_091820.jpg,-35.5330555556,-70.7833333333,2625
20180207_091822.jpg,-35.5330555556,-70.7833333333,2625
20180207_091833.jpg,-35.5330555556,-70.7833333333,2625
20180207_091840.jpg,-35.5330555556,-70.7833333333,2625
20180207_091852.jpg,-35.5330555556,-70.7833333333,2625
20180207_091907.jpg,-35.5330555556,-70.7830555556,
